H_estimate,H_error,mu,sigma,T
-0.43217,0.0044007,0.786494,0.647182,0.01
-0.438696,0.00401382,0.794632,0.644393,0.01
-0.437067,0.00509012,0.792447,0.641687,0.01
-0.437655,0.00400699,0.79068,0.632173,0.01
-0.447622,0.0034247,0.788395,0.630665,0.01
-0.443904,0.00320564,0.782262,0.633542,0.01
-0.44011,0.00323664,0.782832,0.617418,0.01
-0.440473,0.00570571,0.788144,0.617786,0.01
-0.447745,0.00297325,0.789921,0.614718,0.01
-0.445328,0.00408744,0.797077,0.622081,0.01
-0.446004,0.00338314,0.791439,0.63018,0.01
-0.442994,0.00367303,0.791768,0.630483,0.01
-0.447266,0.00317182,0.78419,0.632508,0.01
-0.445757,0.00307731,0.78419,0.632508,0.01
-0.440202,0.00365286,0.78419,0.632508,0.01
-0.440458,0.00360501,0.784739,0.640001,0.01
-0.438691,0.00446839,0.792591,0.645696,0.01
-0.441638,0.00408589,0.792591,0.645696,0.01
-0.431561,0.00507058,0.779453,0.660238,0.01
-0.44008,0.00433051,0.787167,0.662523,0.01
-0.415508,0.00625188,0.794055,0.667744,0.01
-0.430892,0.00554947,0.793502,0.661009,0.01
-0.438935,0.0043545,0.793502,0.661009,0.01
-0.439201,0.00487251,0.794772,0.659752,0.01
-0.424711,0.00503948,0.802712,0.663826,0.01
-0.432204,0.00521601,0.802712,0.663826,0.01
-0.432238,0.00503133,0.786113,0.658173,0.01
-0.429,0.00454583,0.786113,0.658173,0.00988496
-0.433608,0.00394957,0.775575,0.65657,0.00988496
-0.438742,0.00383861,0.781985,0.651399,0.00988496
-0.431118,0.00438637,0.784213,0.652207,0.00988496
-0.431423,0.00386982,0.775895,0.646846,0.00988496
-0.437043,0.0043007,0.784086,0.65293,0.00988496
-0.441389,0.00372572,0.787875,0.654132,0.00988496
-0.429151,0.00504393,0.80594,0.650113,0.00988496
-0.444173,0.00411263,0.807088,0.643113,0.00988496
-0.435131,0.00410429,0.796194,0.64773,0.00988496
-0.441956,0.00424763,0.800008,0.648614,0.00988496
-0.426333,0.00530356,0.801286,0.649691,0.00988496
-0.445839,0.00421969,0.804081,0.642617,0.00988496
-0.437824,0.00462495,0.794855,0.635354,0.00988496
-0.444051,0.00360759,0.796982,0.621037,0.00988496
-0.439661,0.00384639,0.817627,0.62079,0.00988496
-0.442416,0.00338747,0.809146,0.614825,0.00988496
-0.444645,0.00326597,0.808928,0.610689,0.00988496
-0.437968,0.00342677,0.797784,0.609948,0.00988496
-0.443506,0.00349214,0.797784,0.609948,0.00988496
-0.449349,0.00303687,0.809137,0.608802,0.00988496
-0.43718,0.00381416,0.81896,0.624861,0.00988496
-0.439428,0.00445117,0.82047,0.624012,0.00988496
-0.441661,0.00403161,0.806359,0.628518,0.00988496
-0.436717,0.00385444,0.793925,0.633414,0.00988496
-0.439344,0.00399685,0.808423,0.639247,0.00988496
-0.444242,0.00427618,0.808978,0.637578,0.00988496
-0.445472,0.00339261,0.806,0.629429,0.00988496
-0.439244,0.00423324,0.815692,0.628279,0.00988496
-0.452224,0.00329467,0.815692,0.628279,0.00988496
-0.443366,0.00351918,0.808152,0.622104,0.00988496
-0.442407,0.00330094,0.805747,0.61443,0.00988496
-0.43703,0.00395926,0.816252,0.629969,0.00988496
-0.445715,0.0043498,0.816252,0.629969,0.00988496
-0.444623,0.00357773,0.833074,0.628328,0.00988496
-0.434397,0.00497318,0.836675,0.630447,0.00988496
-0.434442,0.00437175,0.842556,0.630587,0.00988496
-0.437591,0.00470983,0.842556,0.630587,0.00988496
-0.433726,0.00455364,0.846578,0.639244,0.00988496
-0.435144,0.0045754,0.846578,0.639244,0.00988496
-0.432407,0.00456336,0.848735,0.640066,0.00988496
-0.430194,0.00473544,0.848774,0.637313,0.00988496
-0.425587,0.005663,0.851615,0.643702,0.00988496
-0.427877,0.00482462,0.855346,0.647594,0.00988496
-0.421564,0.00548996,0.855099,0.655081,0.00988496
-0.426803,0.00533855,0.850973,0.660247,0.00988496
-0.433652,0.00502511,0.844179,0.651654,0.00988496
-0.429914,0.00494038,0.83821,0.646516,0.00988496
-0.432152,0.00476107,0.833692,0.640943,0.00988496
-0.43753,0.00444844,0.835037,0.644787,0.00988496
-0.425318,0.00529549,0.849717,0.647344,0.00988496
-0.422194,0.00529533,0.855264,0.642584,0.00988496
-0.425837,0.00498336,0.850561,0.636637,0.00988496
-0.431355,0.00503231,0.83998,0.637272,0.00988496
-0.427925,0.00504435,0.831692,0.641137,0.00988496
-0.435784,0.00422815,0.835881,0.63914,0.00988496
-0.432819,0.00601457,0.829147,0.636844,0.00988496
-0.447105,0.00391387,0.823841,0.62845,0.00988496
-0.447084,0.00360234,0.828449,0.631902,0.00988496
-0.43055,0.00470995,0.831625,0.636289,0.00988496
-0.441297,0.00469334,0.831625,0.636289,0.00988496
-0.438628,0.00476253,0.831625,0.636289,0.00988496
-0.430781,0.00522914,0.82734,0.64114,0.00988496
-0.433102,0.00501308,0.838168,0.644181,0.00988496
-0.424559,0.00553015,0.841839,0.647063,0.00988496
-0.426908,0.00537993,0.842002,0.650961,0.00988496
-0.43108,0.00475412,0.842002,0.650961,0.00988496
-0.426433,0.00542585,0.842002,0.650961,0.00988496
-0.434445,0.00485699,0.842002,0.650961,0.00988496
-0.42405,0.00557038,0.84895,0.659041,0.00988496
-0.425003,0.00529119,0.842727,0.650232,0.00988496
-0.423134,0.00576727,0.849378,0.644424,0.00988496
-0.436678,0.00435163,0.835863,0.654564,0.00988496
-0.434429,0.00486793,0.850146,0.648505,0.00988496
-0.426652,0.00520034,0.849586,0.637151,0.00988496
-0.431102,0.00478327,0.852605,0.646538,0.00988496
-0.437813,0.00463561,0.844385,0.638219,0.00988496
-0.440959,0.00384304,0.840746,0.626145,0.00988496
-0.437107,0.00466297,0.834791,0.623612,0.00988496
-0.443062,0.00388919,0.84496,0.623752,0.00988496
-0.437522,0.00361027,0.843438,0.625626,0.00988496
-0.444866,0.00394605,0.832741,0.624891,0.00988496
-0.431079,0.0050785,0.840897,0.643899,0.00988496
-0.436428,0.00450659,0.840897,0.643899,0.00988496
-0.437131,0.0039658,0.841784,0.638909,0.00988496
-0.42797,0.00591554,0.849197,0.640581,0.00988496
-0.437594,0.00459662,0.849197,0.640581,0.00988496
-0.43198,0.00521449,0.847432,0.635044,0.00988496
-0.433935,0.00453475,0.847972,0.64361,0.00988496
-0.429706,0.00422539,0.847416,0.632424,0.00988496
-0.434294,0.00393744,0.851185,0.627588,0.00988496
-0.425455,0.00532818,0.861408,0.626539,0.00988496
-0.427494,0.00479788,0.856493,0.629634,0.00988496
-0.426806,0.00484966,0.851658,0.641137,0.00988496
-0.437807,0.00465985,0.850561,0.637316,0.00988496
-0.432143,0.00521631,0.846099,0.642786,0.00988496
-0.429923,0.00571646,0.852362,0.634588,0.00988496
-0.429388,0.0051829,0.852362,0.634588,0.00988496
-0.430738,0.00457296,0.846463,0.639489,0.00988496
-0.430477,0.00431638,0.847438,0.647325,0.00988496
-0.433197,0.00488869,0.847438,0.647325,0.00977124
-0.413636,0.00645743,0.853246,0.65691,0.00977124
-0.409336,0.00677876,0.853136,0.657467,0.00977124
-0.408331,0.00703011,0.856494,0.654619,0.00977124
-0.425109,0.00629805,0.859313,0.65641,0.00977124
-0.426446,0.00522504,0.865494,0.659215,0.00977124
-0.411691,0.0063189,0.85815,0.657356,0.00977124
-0.405776,0.00689436,0.855392,0.64986,0.00977124
-0.428067,0.00477582,0.864605,0.639567,0.00977124
-0.429875,0.00543604,0.854043,0.641482,0.00977124
-0.438141,0.00421401,0.849892,0.641116,0.00977124
-0.428732,0.00519233,0.849892,0.641116,0.00977124
-0.425756,0.00538065,0.856593,0.649707,0.00977124
-0.412892,0.006621,0.856558,0.657955,0.00977124
-0.416792,0.00657666,0.856558,0.657955,0.00977124
-0.425414,0.0048844,0.858508,0.650654,0.00977124
-0.417822,0.00607874,0.856995,0.662312,0.00977124
-0.4114,0.00679099,0.857804,0.663318,0.00977124
-0.417886,0.00560572,0.857804,0.663318,0.00977124
-0.409932,0.00734854,0.878319,0.658773,0.00977124
-0.400911,0.00771816,0.878319,0.658773,0.00977124
-0.404155,0.00691904,0.886353,0.661965,0.00977124
-0.396158,0.00656759,0.885901,0.664051,0.00977124
-0.390985,0.00680145,0.889115,0.66098,0.00977124
-0.403391,0.00650372,0.889115,0.66098,0.00977124
-0.400862,0.006685,0.889115,0.66098,0.00977124
-0.395355,0.00723385,0.885227,0.652945,0.00977124
-0.405157,0.00605885,0.893182,0.636291,0.00977124
-0.40483,0.00575518,0.896779,0.63203,0.00977124
-0.411505,0.00538865,0.891587,0.639896,0.00977124
-0.412441,0.00562308,0.868445,0.640711,0.00977124
-0.420778,0.005789,0.867748,0.636227,0.00977124
-0.409551,0.00592964,0.872876,0.640985,0.00977124
-0.401893,0.00643664,0.879573,0.652792,0.00977124
-0.408383,0.00608985,0.879573,0.652792,0.00977124
-0.412713,0.00574883,0.877036,0.644305,0.00977124
-0.414009,0.00609726,0.877036,0.644305,0.00977124
-0.425404,0.00511303,0.869896,0.651042,0.00977124
-0.408288,0.00715498,0.870026,0.639786,0.00977124
-0.427072,0.00569646,0.870026,0.639786,0.00977124
-0.412592,0.00586688,0.871964,0.643575,0.00977124
-0.411143,0.00598917,0.884511,0.634177,0.00977124
-0.416054,0.00573586,0.875997,0.630404,0.00977124
-0.41993,0.00451871,0.875997,0.630404,0.00977124
-0.42273,0.00469452,0.875997,0.630404,0.00977124
-0.425348,0.00494404,0.875997,0.630404,0.00977124
-0.419684,0.0051461,0.880207,0.623252,0.00977124
-0.413885,0.0049824,0.878489,0.604204,0.00977124
-0.416212,0.00528936,0.878489,0.604204,0.00977124
-0.407514,0.00455545,0.89325,0.601198,0.00977124
-0.409889,0.00477695,0.884649,0.587439,0.00977124
-0.399873,0.00464947,0.894157,0.57995,0.00977124
-0.409246,0.00448476,0.881461,0.573887,0.00977124
-0.406725,0.0045476,0.884913,0.574793,0.00977124
-0.395579,0.00485765,0.889963,0.576182,0.00977124
-0.400357,0.00434489,0.889963,0.576182,0.00977124
-0.38862,0.0046582,0.892549,0.568286,0.00977124
-0.390137,0.00502115,0.892549,0.568286,0.00977124
-0.388157,0.00498791,0.892549,0.568286,0.00977124
-0.389539,0.00496081,0.900893,0.576749,0.00977124
-0.390038,0.00498366,0.895722,0.57149,0.00977124
-0.390348,0.00450626,0.895722,0.57149,0.00977124
-0.382175,0.00476705,0.901543,0.57219,0.00977124
-0.386115,0.00497635,0.903607,0.569941,0.00977124
-0.398858,0.00492252,0.896867,0.579467,0.00977124
-0.394557,0.00552073,0.902173,0.58459,0.00977124
-0.397134,0.00450651,0.902173,0.58459,0.00977124
-0.399251,0.0045453,0.896025,0.583497,0.00977124
-0.419336,0.00443397,0.887441,0.589619,0.00977124
-0.414376,0.00464685,0.893087,0.59539,0.00977124
-0.415252,0.00464375,0.881049,0.598188,0.00977124
-0.42094,0.0043629,0.880581,0.597829,0.00977124
-0.424964,0.00382873,0.87596,0.596642,0.00977124
-0.416826,0.00413562,0.885534,0.586956,0.00977124
-0.41491,0.00417835,0.882062,0.585638,0.00977124
-0.413547,0.00420228,0.884968,0.586212,0.00977124
-0.397103,0.00569773,0.895873,0.595371,0.00977124
-0.413608,0.00402512,0.895873,0.595371,0.00977124
-0.415545,0.00462614,0.894897,0.593567,0.00977124
-0.410018,0.00452319,0.893923,0.590073,0.00977124
-0.397681,0.00462891,0.894714,0.586397,0.00977124
-0.41628,0.00419965,0.887081,0.594538,0.00977124
-0.412129,0.00434993,0.882187,0.593921,0.00977124
-0.416477,0.00463908,0.882187,0.593921,0.00977124
-0.414381,0.00490211,0.875299,0.596847,0.00977124
-0.416304,0.00417483,0.876947,0.593542,0.00977124
-0.417187,0.00466574,0.870856,0.596865,0.00977124
-0.43043,0.00378176,0.866405,0.597656,0.00977124
-0.426456,0.00417658,0.864953,0.592444,0.00977124
-0.426218,0.00380592,0.864953,0.592444,0.00977124
-0.420807,0.0045436,0.87302,0.598515,0.00977124
-0.427478,0.00412026,0.87302,0.598515,0.00977124
-0.416427,0.00464717,0.884564,0.599587,0.00977124
-0.412762,0.00434027,0.896297,0.601082,0.00977124
-0.411418,0.00479932,0.896297,0.601082,0.00977124
-0.405519,0.00489219,0.895011,0.602285,0.00977124
-0.412953,0.00465855,0.882433,0.603928,0.00977124
-0.41991,0.00410886,0.869227,0.590136,0.00977124
-0.415162,0.0042383,0.873951,0.590346,0.00977124
-0.418069,0.00431284,0.868267,0.579854,0.00977124
-0.412675,0.00475686,0.864323,0.575356,0.00965883
-0.420607,0.00446075,0.863826,0.572246,0.00965883
-0.415813,0.00448449,0.863826,0.572246,0.00965883
-0.412791,0.00436843,0.860934,0.572722,0.00965883
-0.411178,0.00448179,0.852536,0.572016,0.00965883
-0.413313,0.00418548,0.852536,0.572016,0.00965883
-0.418122,0.00419791,0.859001,0.580624,0.00965883
-0.415856,0.00409393,0.86316,0.58601,0.00965883
-0.427983,0.00412423,0.86316,0.58601,0.00965883
-0.416218,0.00420563,0.881615,0.591726,0.00965883
-0.420129,0.00393605,0.880243,0.594162,0.00965883
-0.414686,0.00460746,0.877607,0.592278,0.00965883
-0.420464,0.00421987,0.877607,0.592278,0.00965883
-0.415901,0.00391614,0.871709,0.59385,0.00965883
-0.427292,0.00413582,0.873212,0.59604,0.00965883
-0.418747,0.00418613,0.86692,0.59827,0.00965883
-0.429244,0.00418153,0.867409,0.604394,0.00965883
-0.420649,0.00440642,0.875774,0.604391,0.00965883
-0.424585,0.00412399,0.881049,0.603649,0.00965883
-0.418113,0.00406549,0.876982,0.608227,0.00965883
-0.425109,0.00436792,0.876982,0.608227,0.00965883
-0.422641,0.00470641,0.876982,0.608227,0.00965883
-0.420695,0.00468431,0.876982,0.608227,0.00965883
-0.415471,0.0056108,0.877483,0.60928,0.00965883
-0.425467,0.0042479,0.87879,0.617989,0.00965883
-0.425455,0.00438558,0.879149,0.611104,0.00965883
-0.417886,0.00476595,0.87978,0.61558,0.00965883
-0.420485,0.00525464,0.877204,0.614738,0.00965883
-0.426432,0.00413914,0.882101,0.619816,0.00965883
-0.430787,0.00373229,0.874847,0.612181,0.00965883
-0.42429,0.00541171,0.86827,0.619237,0.00965883
-0.426205,0.00489758,0.870577,0.623416,0.00965883
-0.426184,0.00448439,0.870577,0.623416,0.00965883
-0.430945,0.00486287,0.867077,0.616278,0.00965883
-0.432163,0.0043209,0.856996,0.613213,0.00965883
-0.432153,0.00432164,0.847807,0.624188,0.00965883
-0.439422,0.00408183,0.856993,0.629929,0.00965883
-0.43214,0.00422896,0.856993,0.629929,0.00965883
-0.431827,0.0048548,0.856993,0.629929,0.00965883
-0.416371,0.0058129,0.862374,0.646642,0.00965883
-0.430629,0.0047382,0.857596,0.636448,0.00965883
-0.442638,0.00389907,0.857596,0.636448,0.00965883
-0.425439,0.00512624,0.860797,0.638278,0.00965883
-0.434859,0.00452186,0.860797,0.638278,0.00965883
-0.429272,0.00526746,0.852767,0.63786,0.00965883
-0.42684,0.00703581,0.849834,0.646592,0.00965883
-0.425592,0.00517539,0.849834,0.646592,0.00965883
-0.424619,0.00475883,0.84456,0.648027,0.00965883
-0.4333,0.00479444,0.837747,0.642942,0.00965883
-0.432868,0.00457137,0.83456,0.65132,0.00965883
-0.438298,0.00512962,0.837999,0.655107,0.00965883
-0.43372,0.00523721,0.837999,0.655107,0.00965883
-0.420329,0.00732296,0.842932,0.662894,0.00965883
-0.417216,0.00599645,0.842932,0.662894,0.00965883
-0.422879,0.00625033,0.835462,0.669296,0.00965883
-0.41986,0.00575083,0.835217,0.663587,0.00965883
-0.433296,0.00475801,0.827765,0.657723,0.00965883
-0.430708,0.00573859,0.827765,0.657723,0.00965883
-0.434275,0.0054443,0.833735,0.658747,0.00965883
-0.432005,0.00555866,0.832954,0.649572,0.00965883
-0.431808,0.005137,0.828749,0.646463,0.00965883
-0.42992,0.00466049,0.819799,0.652406,0.00965883
-0.429415,0.00491507,0.79762,0.656031,0.00965883
-0.435167,0.00442692,0.809354,0.650871,0.00965883
-0.442663,0.00407894,0.806719,0.640594,0.00965883
-0.442577,0.00395462,0.814965,0.63206,0.00965883
-0.445066,0.00410015,0.821641,0.613833,0.00965883
-0.442651,0.00415328,0.814851,0.616423,0.00965883
-0.44399,0.00381103,0.824106,0.612804,0.00965883
-0.443482,0.00397117,0.81549,0.611553,0.00965883
-0.441028,0.00379011,0.816415,0.613052,0.00965883
-0.439128,0.00387679,0.82055,0.600052,0.00965883
-0.43708,0.00381585,0.828314,0.603745,0.00965883
-0.442415,0.00333204,0.83095,0.600414,0.00965883
-0.435772,0.00399231,0.830592,0.591456,0.00965883
-0.432767,0.00432807,0.831667,0.588557,0.00965883
-0.437559,0.00359625,0.824444,0.591872,0.00965883
-0.432489,0.00387812,0.836168,0.597856,0.00965883
-0.440181,0.00411645,0.828207,0.612695,0.00965883
-0.44289,0.00382514,0.835218,0.607695,0.00965883
-0.444852,0.00370114,0.835218,0.607695,0.00965883
-0.43418,0.00390211,0.830809,0.597567,0.00965883
-0.440567,0.00369683,0.830809,0.597567,0.00965883
-0.439742,0.00364362,0.836531,0.606661,0.00965883
-0.441447,0.00350012,0.832808,0.606228,0.00965883
-0.435702,0.00370339,0.830932,0.607365,0.00965883
-0.443983,0.00337499,0.830932,0.607365,0.00965883
-0.435331,0.00392836,0.830363,0.613015,0.00965883
-0.443053,0.0033633,0.821166,0.619162,0.00965883
-0.437671,0.00455502,0.817631,0.636913,0.00965883
-0.450366,0.00357127,0.817631,0.636913,0.00965883
-0.429652,0.00485124,0.82763,0.643742,0.00965883
-0.437831,0.00486059,0.81294,0.649354,0.00965883
-0.436659,0.00468082,0.81294,0.649354,0.00965883
-0.442689,0.00414078,0.818438,0.644647,0.00965883
-0.435127,0.00496742,0.822782,0.640013,0.00965883
-0.443072,0.00382758,0.822786,0.630768,0.00965883
-0.441418,0.00394105,0.822786,0.630768,0.00965883
-0.446152,0.00344855,0.825287,0.628584,0.00965883
-0.441158,0.00454585,0.824687,0.626755,0.00965883
-0.445368,0.00338665,0.821536,0.6235,0.00954772
-0.443355,0.00344744,0.802779,0.639025,0.00954772
-0.445367,0.00350351,0.802779,0.639025,0.00954772
-0.441786,0.00405879,0.804212,0.629594,0.00954772
-0.44249,0.00395835,0.804635,0.628344,0.00954772
-0.449342,0.00335688,0.811819,0.629155,0.00954772
-0.443182,0.00385509,0.815546,0.633998,0.00954772
-0.452707,0.00325957,0.819168,0.63666,0.00954772
-0.442174,0.0032598,0.817687,0.629338,0.00954772
-0.436775,0.0039892,0.823672,0.627275,0.00954772
-0.444255,0.00341752,0.800487,0.623878,0.00954772
-0.440321,0.00344826,0.80961,0.614658,0.00954772
-0.447959,0.00331283,0.800618,0.607155,0.00954772
-0.443908,0.00425252,0.799561,0.611422,0.00954772
-0.444738,0.00342249,0.798096,0.600485,0.00954772
-0.444513,0.00328955,0.798096,0.600485,0.00954772
-0.442592,0.00338593,0.781306,0.593632,0.00954772
-0.439301,0.00340791,0.785235,0.595962,0.00954772
-0.439071,0.00416468,0.795364,0.593307,0.00954772
-0.441584,0.00403268,0.795364,0.593307,0.00954772
-0.449882,0.00350149,0.795364,0.593307,0.00954772
-0.437095,0.00367268,0.803148,0.590227,0.00954772
-0.433834,0.00375499,0.813531,0.592231,0.00954772
-0.440239,0.0037252,0.813531,0.592231,0.00954772
-0.436487,0.00423174,0.818459,0.595633,0.00954772
-0.44046,0.00368777,0.818459,0.595633,0.00954772
-0.441375,0.00327717,0.815344,0.594456,0.00954772
-0.440323,0.00404653,0.817298,0.595626,0.00954772
-0.439298,0.00366273,0.824103,0.586249,0.00954772
-0.435584,0.00380624,0.825299,0.590075,0.00954772
-0.441431,0.00365827,0.828281,0.58557,0.00954772
-0.432754,0.00395172,0.817309,0.584392,0.00954772
-0.431772,0.00385717,0.823137,0.584274,0.00954772
-0.431601,0.00416239,0.822283,0.585475,0.00954772
-0.442293,0.003551,0.815471,0.59548,0.00954772
-0.439802,0.00382254,0.815471,0.59548,0.00954772
-0.439834,0.00337038,0.803533,0.605258,0.00954772
-0.447779,0.00307997,0.803533,0.605258,0.00954772
-0.44677,0.00359856,0.792158,0.600834,0.00954772
-0.445753,0.00313739,0.792158,0.600834,0.00954772
-0.4447,0.00325641,0.791183,0.606121,0.00954772
-0.439661,0.00340581,0.791148,0.604132,0.00954772
-0.445574,0.00307368,0.791215,0.601724,0.00954772
-0.438317,0.00376679,0.788473,0.605439,0.00954772
-0.445449,0.00322068,0.788473,0.605439,0.00954772
-0.440334,0.00323474,0.791207,0.606682,0.00954772
-0.440247,0.00353816,0.785735,0.611356,0.00954772
-0.446466,0.00330096,0.783937,0.598765,0.00954772
-0.441115,0.00315293,0.789427,0.611912,0.00954772
-0.440221,0.0034682,0.787405,0.619958,0.00954772
-0.437955,0.00444028,0.783814,0.624458,0.00954772
-0.436411,0.0052831,0.787996,0.617903,0.00954772
-0.44737,0.00305767,0.785357,0.623114,0.00954772
-0.439474,0.00308598,0.784397,0.610776,0.00954772
-0.445921,0.00322693,0.78156,0.623079,0.00954772
-0.445299,0.00334908,0.785517,0.617929,0.00954772
-0.441158,0.0037908,0.779974,0.623882,0.00954772
-0.444018,0.00306744,0.779974,0.623882,0.00954772
-0.43763,0.0035242,0.78485,0.619736,0.00954772
-0.440604,0.00401676,0.789101,0.624329,0.00954772
-0.448618,0.00294448,0.78474,0.617743,0.00954772
-0.447801,0.00297064,0.77519,0.619916,0.00954772
-0.442618,0.00310748,0.781551,0.622263,0.00954772
-0.443318,0.0031251,0.781551,0.622263,0.00954772
-0.447752,0.00314483,0.777018,0.618545,0.00954772
-0.443946,0.0032992,0.775371,0.613428,0.00954772
-0.445238,0.00290879,0.775371,0.613428,0.00954772
-0.443959,0.00291801,0.77587,0.62406,0.00954772
-0.443583,0.00313028,0.771604,0.612674,0.00954772
-0.440648,0.00344064,0.766174,0.616124,0.00954772
-0.440654,0.00334411,0.765851,0.623829,0.00954772
-0.437445,0.00284002,0.751311,0.617396,0.00954772
-0.44084,0.00339446,0.764814,0.621173,0.00954772
-0.439626,0.00289935,0.753177,0.61716,0.00954772
-0.435393,0.00314411,0.761247,0.615714,0.00954772
-0.437085,0.00331087,0.761616,0.628013,0.00954772
-0.431138,0.00521862,0.771352,0.636244,0.00954772
-0.440604,0.00324429,0.764636,0.629259,0.00954772
-0.439643,0.00402671,0.764419,0.628684,0.00954772
-0.436021,0.00331548,0.76242,0.629904,0.00954772
-0.441381,0.0031219,0.76242,0.629904,0.00954772
-0.440408,0.00314009,0.758922,0.630275,0.00954772
-0.435916,0.00293573,0.751864,0.635843,0.00954772
-0.427622,0.00377877,0.752177,0.6342,0.00954772
-0.44032,0.00333626,0.744843,0.634753,0.00954772
-0.424521,0.00328661,0.73841,0.625055,0.00954772
-0.430938,0.00309162,0.73841,0.625055,0.00954772
-0.429977,0.00336962,0.743563,0.628795,0.00954772
-0.446086,0.00322882,0.760543,0.621756,0.00954772
-0.438215,0.00314642,0.761817,0.619597,0.00954772
-0.441889,0.00348111,0.768984,0.622202,0.00954772
-0.443544,0.00286802,0.768721,0.617221,0.00954772
-0.438005,0.00377746,0.768721,0.617221,0.00954772
-0.444447,0.00309667,0.768721,0.617221,0.00954772
-0.444306,0.0028701,0.766036,0.617486,0.00954772
-0.437434,0.00322788,0.750976,0.615793,0.00954772
-0.443068,0.00298214,0.76564,0.60704,0.00954772
-0.439874,0.00315694,0.76564,0.60704,0.00954772
-0.438675,0.00327853,0.767515,0.609825,0.00954772
-0.442288,0.00327883,0.767515,0.609825,0.00954772
-0.439459,0.0030188,0.767764,0.606716,0.00943788
-0.443161,0.00299694,0.770727,0.608899,0.00943788
-0.443527,0.00336165,0.761853,0.604281,0.00943788
-0.442213,0.00327643,0.762294,0.598921,0.00943788
-0.437267,0.00489826,0.76943,0.597421,0.00943788
